iter	Passed	Remaining
0	0	29
1	0	32
2	0	31
3	1	30
4	1	29
5	1	28
6	2	28
7	2	26
8	2	26
9	2	26
10	3	26
11	3	25
12	3	25
13	4	24
14	4	24
15	4	24
16	4	23
17	5	23
18	5	22
19	5	22
20	6	22
21	6	22
22	6	22
23	6	22
24	7	21
25	7	21
26	8	21
27	8	21
28	8	21
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	13	18
41	13	18
42	13	18
43	14	18
44	14	17
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	19	14
56	19	14
57	19	14
58	20	13
59	20	13
60	20	13
61	21	12
62	21	12
63	21	12
64	22	11
65	22	11
66	22	11
67	23	10
68	23	10
69	23	10
70	24	9
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
