iter	Passed	Remaining
0	2	2696
1	2	1480
2	3	1182
3	4	1011
4	4	895
5	4	810
6	5	740
7	5	685
8	5	647
9	6	610
10	6	597
11	6	573
12	7	557
13	7	541
14	8	535
15	8	522
16	8	515
17	9	508
18	9	494
19	9	482
20	10	483
21	10	480
22	11	473
23	11	470
24	11	467
25	12	460
26	12	457
27	12	451
28	13	446
29	13	445
30	14	441
31	14	436
32	14	433
33	15	430
34	15	427
35	15	426
36	16	422
37	16	418
38	16	417
39	17	414
40	17	414
41	18	412
42	18	414
43	19	415
44	19	415
45	20	416
46	20	416
47	21	418
48	21	417
49	22	418
50	22	418
51	22	414
52	23	411
53	23	411
54	23	409
55	24	408
56	24	408
57	25	409
58	25	409
59	26	409
60	26	410
61	27	410
62	27	410
63	27	409
64	28	408
65	28	408
66	29	408
67	29	406
68	30	406
69	30	406
70	31	406
71	31	406
72	31	404
73	32	404
74	32	403
75	33	403
76	33	403
77	34	405
78	34	405
79	35	404
80	35	403
81	36	404
82	36	404
83	36	403
84	37	401
85	37	400
86	37	397
87	38	400
88	39	400
89	39	400
90	40	400
91	40	399
92	40	395
93	41	395
94	41	394
95	41	393
96	42	392
97	42	391
98	42	390
99	43	388
100	43	389
101	44	389
102	44	388
103	45	388
104	45	386
105	45	385
106	46	386
107	46	385
108	47	384
109	47	383
110	47	382
111	48	382
112	48	381
113	49	382
114	49	381
115	50	382
116	50	380
117	50	380
118	51	379
119	51	378
120	52	379
121	52	379
122	53	377
123	53	376
124	53	376
125	54	375
126	54	375
127	55	374
128	55	374
129	56	375
130	56	375
131	56	374
132	57	373
133	57	374
134	58	373
135	58	373
136	59	373
137	59	374
138	60	373
139	60	372
140	61	372
141	61	370
142	61	371
143	62	370
144	62	369
145	63	369
146	63	368
147	64	369
148	64	369
149	65	369
150	65	369
151	65	367
152	66	367
153	66	367
154	67	366
155	67	365
156	68	365
157	68	365
158	69	368
159	70	367
160	70	368
161	70	366
162	71	366
163	71	365
164	72	365
165	72	364
166	72	364
167	73	362
168	73	363
169	74	362
170	74	361
171	75	361
172	75	361
173	76	361
174	76	360
175	76	359
176	77	360
177	77	359
178	78	358
179	78	358
180	79	361
181	80	361
182	80	361
183	81	360
184	81	359
185	81	358
186	82	358
187	83	358
188	83	357
189	83	356
190	83	355
191	84	354
192	84	355
193	85	354
194	85	354
195	86	354
196	86	354
197	87	353
198	87	352
199	88	352
200	88	351
201	88	350
202	89	349
203	89	349
204	90	349
205	90	348
206	90	347
207	91	347
208	91	346
209	92	346
210	92	345
211	92	345
212	93	345
213	93	344
214	94	344
215	94	344
216	95	343
217	95	343
218	96	342
219	96	342
220	97	342
221	97	342
222	97	341
223	98	340
224	98	340
225	99	341
226	100	341
227	100	340
228	101	340
229	101	339
230	102	339
231	102	339
232	102	338
233	103	337
234	103	337
235	103	336
236	104	336
237	104	335
238	105	335
239	105	335
240	106	334
241	106	334
242	107	334
243	107	333
244	108	333
245	108	333
246	109	332
247	109	332
248	110	331
249	110	331
250	111	331
251	111	331
252	111	330
253	112	329
254	112	329
255	113	328
256	113	328
257	113	327
258	114	326
259	114	326
260	115	326
261	115	325
262	116	325
263	116	324
264	116	324
265	117	323
266	117	323
267	118	322
268	118	322
269	119	321
270	119	321
271	119	320
272	120	319
273	120	319
274	121	319
275	121	318
276	122	318
277	122	318
278	123	318
279	123	318
280	124	317
281	124	317
282	125	316
283	125	316
284	125	315
285	126	314
286	126	314
287	127	314
288	127	313
289	128	313
290	128	312
291	128	312
292	129	312
293	129	311
294	130	311
295	130	310
296	130	310
297	131	309
298	132	309
299	132	308
300	132	308
301	133	308
302	133	307
303	134	307
304	134	306
305	135	306
306	135	305
307	136	305
308	136	304
309	136	304
310	137	304
311	137	303
312	138	303
313	138	302
314	139	302
315	139	302
316	140	301
317	140	301
318	141	301
319	141	300
320	141	299
321	142	299
322	142	298
323	142	298
324	143	298
325	144	297
326	144	297
327	144	297
328	145	296
329	145	296
330	146	295
331	146	295
332	147	294
333	147	294
334	147	293
335	148	292
336	148	292
337	149	292
338	149	291
339	150	291
340	150	291
341	151	290
342	151	290
343	151	289
344	152	289
345	152	288
346	153	288
347	153	287
348	154	287
349	154	287
350	154	286
351	155	285
352	155	285
353	156	285
354	156	284
355	157	284
356	157	283
357	157	283
358	158	282
359	158	282
360	159	281
361	159	281
362	160	281
363	160	280
364	161	280
365	161	280
366	162	279
367	162	279
368	163	278
369	163	278
370	163	278
371	164	277
372	164	276
373	165	276
374	165	276
375	166	275
376	166	274
377	166	274
378	167	274
379	167	273
380	168	273
381	168	272
382	168	272
383	169	271
384	169	271
385	170	270
386	170	270
387	171	269
388	171	269
389	171	268
390	172	268
391	172	267
392	173	267
393	173	266
394	173	266
395	174	265
396	174	265
397	174	264
398	175	263
399	175	263
400	176	262
401	176	262
402	176	261
403	177	261
404	177	261
405	178	260
406	178	260
407	179	260
408	179	259
409	180	259
410	180	258
411	180	258
412	181	257
413	181	257
414	182	256
415	182	256
416	182	255
417	183	255
418	183	254
419	184	254
420	184	253
421	184	253
422	185	252
423	185	252
424	186	252
425	186	251
426	187	251
427	187	250
428	188	250
429	188	249
430	188	249
431	189	248
432	189	248
433	190	247
434	190	247
435	190	247
436	191	246
437	191	245
438	192	245
439	192	244
440	192	244
441	193	243
442	193	243
443	193	242
444	194	242
445	194	241
446	194	241
447	195	240
448	195	240
449	196	239
450	196	239
451	197	238
452	197	238
453	197	237
454	198	237
455	198	237
456	199	236
457	199	236
458	199	235
459	200	235
460	200	234
461	201	234
462	201	234
463	202	233
464	202	233
465	203	232
466	203	232
467	204	231
468	204	231
469	204	231
470	205	230
471	205	230
472	206	229
473	206	229
474	206	228
475	207	228
476	207	227
477	208	227
478	208	227
479	209	226
480	209	226
481	210	225
482	210	225
483	211	224
484	211	224
485	211	224
486	212	223
487	212	223
488	213	222
489	213	222
490	214	221
491	214	221
492	214	220
493	215	220
494	215	220
495	216	219
496	216	219
497	216	218
498	217	218
499	217	217
500	218	217
501	218	216
502	219	216
503	219	215
504	219	215
505	220	215
506	220	214
507	221	214
508	221	213
509	221	213
510	222	212
511	222	212
512	223	211
513	223	211
514	224	211
515	224	210
516	225	210
517	225	209
518	225	209
519	226	208
520	226	208
521	226	207
522	227	207
523	227	206
524	228	206
525	228	205
526	228	205
527	229	204
528	229	204
529	230	204
530	230	203
531	230	203
532	231	202
533	231	202
534	232	201
535	232	201
536	232	200
537	233	200
538	233	200
539	234	199
540	234	199
541	234	198
542	235	198
543	235	197
544	236	197
545	236	196
546	236	196
547	237	195
548	237	195
549	238	194
550	238	194
551	239	194
552	239	193
553	239	193
554	240	192
555	240	192
556	241	191
557	241	191
558	241	190
559	242	190
560	242	189
561	243	189
562	243	188
563	243	188
564	244	188
565	244	187
566	245	187
567	245	186
568	245	186
569	246	185
570	246	185
571	247	185
572	247	184
573	248	184
574	248	183
575	248	183
576	249	182
577	249	182
578	250	181
579	250	181
580	250	180
581	251	180
582	251	180
583	252	179
584	252	179
585	253	178
586	253	178
587	254	178
588	254	177
589	255	177
590	255	176
591	255	176
592	256	175
593	256	175
594	257	174
595	257	174
596	257	174
597	258	173
598	259	173
599	259	173
600	260	172
601	260	172
602	261	171
603	261	171
604	261	171
605	262	170
606	262	170
607	263	169
608	263	169
609	263	168
610	264	168
611	264	167
612	265	167
613	265	166
614	266	166
615	266	166
616	266	165
617	267	165
618	267	164
619	268	164
620	268	163
621	268	163
622	269	162
623	269	162
624	270	162
625	270	161
626	270	161
627	271	160
628	271	160
629	272	159
630	272	159
631	273	159
632	273	158
633	273	158
634	274	157
635	274	157
636	275	156
637	275	156
638	276	156
639	276	155
640	277	155
641	277	154
642	278	154
643	278	154
644	279	153
645	279	153
646	280	152
647	280	152
648	281	152
649	281	151
650	282	151
651	282	150
652	282	150
653	283	149
654	283	149
655	283	148
656	284	148
657	284	147
658	285	147
659	285	147
660	286	146
661	286	146
662	287	145
663	287	145
664	287	145
665	288	144
666	288	144
667	288	143
668	289	143
669	289	142
670	290	142
671	290	141
672	291	141
673	291	140
674	291	140
675	292	140
676	292	139
677	293	139
678	293	138
679	294	138
680	294	137
681	294	137
682	295	137
683	295	136
684	296	136
685	296	135
686	296	135
687	297	134
688	297	134
689	298	133
